ts_utc,latitude,longitude,altitude,airspeed
2025-11-19 15:26:08.000 UTC,35.16344389049336,-103.82074517866596,2998.875,109.46564856068294
2025-11-19 15:26:09.000 UTC,35.16350417202339,-103.82001988550384,3018.375,110.00642169142893
2025-11-19 15:26:10.000 UTC,35.16354982238263,-103.81933138780296,3015.25,109.94597636620178
2025-11-19 15:26:11.000 UTC,35.16359931975603,-103.81865293700248,2989.0,110.2790077137572
2025-11-19 15:26:12.000 UTC,35.163634127285334,-103.81796008433616,2984.75,110.57673011828578
2025-11-19 15:26:13.000 UTC,35.16370086902752,-103.81737720742822,2980.625,110.30917113853006
2025-11-19 15:26:14.000 UTC,35.1637485855259,-103.81661991720786,2977.25,110.53127367318952
2025-11-19 15:26:15.000 UTC,35.16377816665918,-103.8159245936892,2996.125,110.30397214518456
2025-11-19 15:26:16.000 UTC,35.163844141736625,-103.81533559923524,2991.125,110.50542339073496
2025-11-19 15:26:17.000 UTC,35.1638897292316,-103.81456762545608,2962.75,110.7396723495005
2025-11-19 15:26:18.000 UTC,35.16393487639725,-103.8138714473455,2957.625,110.81925114085357
2025-11-19 15:26:19.000 UTC,35.16395866423845,-103.81327912197914,2929.5,111.15644005765404
2025-11-19 15:26:20.000 UTC,35.164025648497045,-103.81250690067452,2924.0,111.05080886512084
2025-11-19 15:26:21.000 UTC,35.16407072860748,-103.81180943171894,2895.5,111.1311542653421
2025-11-19 15:26:22.000 UTC,35.164116591308265,-103.8112147459772,2891.25,111.36305102561556
2025-11-19 15:26:23.000 UTC,35.16421850435436,-103.810445066588,2886.625,111.55868751311918
2025-11-19 15:26:24.000 UTC,35.164217946399006,-103.80973592321789,2881.5,111.85384354403048
2025-11-19 15:26:25.000 UTC,35.16427531186491,-103.8091376371379,2876.0,112.05790458092577
2025-11-19 15:26:26.000 UTC,35.16438733264804,-103.80841711902524,2870.5,112.26568348856304
2025-11-19 15:26:27.000 UTC,35.164395534340294,-103.80766567889336,2980.625,112.27227477121409
2025-11-19 15:26:28.000 UTC,35.16445418139919,-103.80696539599565,2976.375,112.39387486286982
2025-11-19 15:26:29.000 UTC,35.16456554196775,-103.8063305018074,3017.875,112.82055032883213
2025-11-19 15:26:30.000 UTC,35.16457657925785,-103.80559189377352,3015.25,112.4047647387182
2025-11-19 15:26:31.000 UTC,35.16462899046019,-103.80489668286872,3034.875,112.93421206674896
2025-11-19 15:26:32.000 UTC,35.16470543006435,-103.80420989404432,3033.125,112.79512651322383
2025-11-19 15:26:33.000 UTC,35.16477360874414,-103.8035048562102,3054.125,112.75507738000992
2025-11-19 15:26:34.000 UTC,35.164810288455335,-103.80280455254132,3052.625,112.52067864516182
2025-11-19 15:26:35.000 UTC,35.1649149290286,-103.80214490009706,3052.125,112.48141315067248
2025-11-19 15:26:36.000 UTC,35.16498187573627,-103.8014069895952,3050.875,112.32703244603164
2025-11-19 15:26:37.000 UTC,35.16506036454812,-103.80071535505589,3050.375,111.81447803482088
2025-11-19 15:26:38.000 UTC,35.16513480562717,-103.80007446345871,3049.75,112.26438140389638
2025-11-19 15:26:39.000 UTC,35.16520924447104,-103.79941184571013,3048.75,112.06671094002743
2025-11-19 15:26:40.000 UTC,35.16528062699363,-103.79862871540244,3046.625,111.80327317072675
2025-11-19 15:26:41.000 UTC,35.16532382760197,-103.797964955403,3044.25,111.59071904352184
2025-11-19 15:26:42.000 UTC,35.16542370859534,-103.79734235012906,3042.25,111.59506791843734
2025-11-19 15:26:43.000 UTC,35.16549406517297,-103.79655807566012,3061.875,112.7249016757415
2025-11-19 15:26:44.000 UTC,35.1655592626892,-103.79589222078212,3058.625,112.36472270578804
2025-11-19 15:26:45.000 UTC,35.16563113862649,-103.79526900138706,3054.875,112.23890723407924
2025-11-19 15:26:46.000 UTC,35.165667730495336,-103.79448162678746,3052.625,112.5793726437406
2025-11-19 15:26:47.000 UTC,35.165771096013486,-103.793817981882,3049.875,112.44552581815464
2025-11-19 15:26:48.000 UTC,35.165840795338156,-103.7931001444906,3046.0,112.10356972346771
2025-11-19 15:26:49.000 UTC,35.16592154726386,-103.7925085291348,3065.125,112.19254732620264
2025-11-19 15:26:50.000 UTC,35.16599548207596,-103.79173844392876,3061.875,112.3599995600636
2025-11-19 15:26:51.000 UTC,35.166071485541764,-103.79102352663875,3057.5,112.19712571013984
2025-11-19 15:26:52.000 UTC,35.16614483445883,-103.79043837698876,3052.5,112.3440876193013
2025-11-19 15:26:53.000 UTC,35.16618992295116,-103.78959664683788,3046.625,112.5602177265688
2025-11-19 15:26:54.000 UTC,35.1662950697355,-103.78896718025209,3042.0,112.49184155526828
2025-11-19 15:26:55.000 UTC,35.16643065903336,-103.78835794604848,3060.625,112.4446558050762
2025-11-19 15:26:56.000 UTC,35.16644665762782,-103.78759661948077,3056.5,112.44693300552476
2025-11-19 15:26:57.000 UTC,35.16651300452649,-103.78689115215091,3052.5,112.1075020138922
2025-11-19 15:26:58.000 UTC,35.16662083575502,-103.7861987205909,3049.875,111.64284049494812
2025-11-19 15:26:59.000 UTC,35.16664428496733,-103.78558059620204,3048.0,111.22233638486598
2025-11-19 15:27:00.000 UTC,35.16670362548903,-103.78482551509516,3045.125,111.23260773315684
2025-11-19 15:27:01.000 UTC,35.16676948042586,-103.78413745213416,3043.125,110.9592096918646
2025-11-19 15:27:02.000 UTC,35.166827969346194,-103.78347229141043,3040.625,110.20198923904714
2025-11-19 15:27:03.000 UTC,35.16686739586294,-103.7827729797922,3038.0,109.74066279491994
2025-11-19 15:27:04.000 UTC,35.166946788690986,-103.78220521539684,3034.25,109.25978485666326
2025-11-19 15:27:05.000 UTC,35.16700904192403,-103.78144387587903,3029.625,108.72291090868424
2025-11-19 15:27:06.000 UTC,35.167136466130614,-103.78074577493592,3025.625,108.46249783666003
2025-11-19 15:27:07.000 UTC,35.16713493950665,-103.78008207403938,3022.25,108.23629167950337
2025-11-19 15:27:08.000 UTC,35.167191630788146,-103.77946994665776,3018.375,108.16664281369852
2025-11-19 15:27:09.000 UTC,35.16723286947236,-103.7787472059019,3014.25,107.97933424742716
2025-11-19 15:27:10.000 UTC,35.1673038829118,-103.77809233581182,3008.875,108.2410800800544
2025-11-19 15:27:11.000 UTC,35.16735533354804,-103.77743247072212,3002.5,107.62176215227906
2025-11-19 15:27:12.000 UTC,35.16738851331174,-103.77674398228528,2994.625,107.62962565321416
2025-11-19 15:27:13.000 UTC,35.16746037891134,-103.77606124362794,2987.625,107.86676795234756
2025-11-19 15:27:14.000 UTC,35.16751243472099,-103.77544586223084,2980.875,108.01277752404634
2025-11-19 15:27:15.000 UTC,35.167557826917616,-103.77470555171368,2975.125,107.9814601393307
2025-11-19 15:27:16.000 UTC,35.16761894412339,-103.77413275998904,2968.375,107.80928608352676
2025-11-19 15:27:17.000 UTC,35.167678482737394,-103.77337423607474,2940.875,107.41905491154596
2025-11-19 15:27:18.000 UTC,35.167732880450785,-103.7727836291492,2936.125,107.30471901033803
2025-11-19 15:27:19.000 UTC,35.16779961856082,-103.7720189147594,2908.5,107.206827039038
2025-11-19 15:27:20.000 UTC,35.16785896522924,-103.77140998121816,2904.375,107.05166445457075
2025-11-19 15:27:21.000 UTC,35.1678949018009,-103.77070032639428,2899.875,106.83024070801952
2025-11-19 15:27:22.000 UTC,35.167969887703656,-103.77004383584136,2896.625,106.43642130028256
2025-11-19 15:27:23.000 UTC,35.16802114332095,-103.76942224240628,2892.5,106.3196722076662
2025-11-19 15:27:24.000 UTC,35.16807168843225,-103.76871059462428,2888.375,106.16793606063966
2025-11-19 15:27:25.000 UTC,35.168167202174665,-103.76812591376716,2884.375,105.60113717459444
2025-11-19 15:27:26.000 UTC,35.16817173343152,-103.76738214287208,2879.75,105.490507779503
2025-11-19 15:27:27.000 UTC,35.16822209944949,-103.76679526979105,2875.25,105.54046584011348
2025-11-19 15:27:28.000 UTC,35.16824766676873,-103.76606697345386,2869.125,105.5559976404195
2025-11-19 15:27:29.000 UTC,35.168325383774935,-103.76541886622552,2862.375,105.33960589228866
2025-11-19 15:27:30.000 UTC,35.16837980858982,-103.76473567603152,2855.5,105.45476426892624
2025-11-19 15:27:31.000 UTC,35.168497355282305,-103.7640669980168,2847.75,105.52486950240451
2025-11-19 15:27:32.000 UTC,35.16851130612194,-103.7634022971592,2839.5,105.93070621821296
2025-11-19 15:27:33.000 UTC,35.16855664830655,-103.76271946689111,2831.0,106.21238655718015
2025-11-19 15:27:34.000 UTC,35.168590041529384,-103.76204704685954,2823.75,106.48320625851692
2025-11-19 15:27:35.000 UTC,35.16868463968858,-103.76139838347444,2817.375,106.45019805374032
2025-11-19 15:27:36.000 UTC,35.1687485483475,-103.7607233857736,2810.5,106.80537923518804
2025-11-19 15:27:37.000 UTC,35.16885188860819,-103.76006045402497,2803.625,107.04561826120472
2025-11-19 15:27:38.000 UTC,35.16887968657538,-103.75942007983568,2797.5,107.10601546603256
2025-11-19 15:27:39.000 UTC,35.16892049051821,-103.7587170569971,2792.375,106.73555763437184
2025-11-19 15:27:40.000 UTC,35.16900633601472,-103.75802959212686,2786.875,107.12147048686808
2025-11-19 15:27:41.000 UTC,35.16907568145543,-103.75741444972576,2780.375,106.74899785937107
2025-11-19 15:27:42.000 UTC,35.16912586782128,-103.75669491514564,2775.75,106.65694487290516
2025-11-19 15:27:43.000 UTC,35.16921167140826,-103.75610656157951,2771.0,106.51419252530088
2025-11-19 15:27:44.000 UTC,35.16930280616507,-103.75535374167607,2766.5,106.34716774024793
2025-11-19 15:27:45.000 UTC,35.16937204588205,-103.75476601598784,2761.625,106.4467722348286
2025-11-19 15:27:46.000 UTC,35.169423817377535,-103.75400142715894,2734.375,106.50249852706224
2025-11-19 15:27:47.000 UTC,35.16949647730216,-103.7533971991134,2731.375,106.21428115050551
2025-11-19 15:27:48.000 UTC,35.16956791235134,-103.75268968379125,2726.875,106.13419810311342
2025-11-19 15:27:49.000 UTC,35.169607435595246,-103.75202145310467,2722.375,106.01495525136144
2025-11-19 15:27:50.000 UTC,35.169714680034666,-103.75141429948852,2717.625,105.63605323861556
2025-11-19 15:27:51.000 UTC,35.169779982604084,-103.75068242261185,2712.5,105.55834749247155
2025-11-19 15:27:52.000 UTC,35.169857050292194,-103.7500202013762,2706.25,105.76031699559744
2025-11-19 15:27:53.000 UTC,35.16993174031377,-103.74937774204184,2699.125,105.7428675397406
2025-11-19 15:27:54.000 UTC,35.16998942065984,-103.7487135984376,2692.375,105.81429678082849
2025-11-19 15:27:55.000 UTC,35.17007933389395,-103.74805618330838,2685.75,106.07412509392238
2025-11-19 15:27:56.000 UTC,35.170126985851674,-103.74743849637451,2679.125,105.920007721969
2025-11-19 15:27:57.000 UTC,35.17023044647649,-103.74673039499667,2672.875,106.35797884229056
2025-11-19 15:27:58.000 UTC,35.17029079422355,-103.7461444806203,2667.125,106.24087182267024
2025-11-19 15:27:59.000 UTC,35.1703701700084,-103.74539539204676,2660.25,106.30885786866142
2025-11-19 15:28:00.000 UTC,35.170432482194165,-103.74480738798157,2653.625,106.18801042374992
2025-11-19 15:28:01.000 UTC,35.17055668691173,-103.74404751500349,2647.375,105.95942176665736
2025-11-19 15:28:02.000 UTC,35.17057143207639,-103.7434400744224,2641.125,106.27833552145178
2025-11-19 15:28:03.000 UTC,35.17061604307965,-103.7427419548854,2635.375,106.29556930134416
2025-11-19 15:28:04.000 UTC,35.17064755400643,-103.7420609875233,2629.125,106.56583167605054
2025-11-19 15:28:05.000 UTC,35.17072996906936,-103.74145257698838,2624.25,
2025-11-19 15:28:06.000 UTC,35.170786214992404,-103.74071902882308,2619.0,106.2800736408829
2025-11-19 15:28:07.000 UTC,35.17081622807309,-103.7401523376466,2614.0,105.78479136916324
2025-11-19 15:28:08.000 UTC,35.17090037316084,-103.73940924512688,2608.75,105.74585132464652
2025-11-19 15:28:09.000 UTC,35.17095481837168,-103.7388177359663,2603.125,105.87423712128158
2025-11-19 15:28:10.000 UTC,35.17107143690809,-103.73808450894666,2598.125,105.62644434319743
2025-11-19 15:28:11.000 UTC,35.17108436767012,-103.73743259785,2592.0,105.50358148629702
2025-11-19 15:28:12.000 UTC,35.17110778363421,-103.7367516487464,2586.5,105.71054755498048
2025-11-19 15:28:13.000 UTC,35.17115805465728,-103.7360832493217,2580.75,105.60724317695148
2025-11-19 15:28:14.000 UTC,35.171206961385906,-103.73542267045006,2575.0,105.66165287469
2025-11-19 15:28:15.000 UTC,35.17125261314213,-103.73474336955697,2570.0,105.64690666944902
2025-11-19 15:28:16.000 UTC,35.171297770366074,-103.73408275055004,2564.625,105.50731701264164
2025-11-19 15:28:17.000 UTC,35.171365284081546,-103.73347931345924,2560.0,105.77151430386044
2025-11-19 15:28:18.000 UTC,35.171426425036046,-103.73277256105096,2577.25,105.71656051674287
2025-11-19 15:28:19.000 UTC,35.17142607048154,-103.73210821556162,2571.75,105.86569314000442
2025-11-19 15:28:20.000 UTC,35.17146480213851,-103.73150073727592,2566.0,105.55490598646182
2025-11-19 15:28:21.000 UTC,35.171501737833026,-103.73076833579688,2559.75,105.49591907264026
2025-11-19 15:28:22.000 UTC,35.17153254635632,-103.73010771678996,2554.25,105.31199229795888
2025-11-19 15:28:23.000 UTC,35.17157328911126,-103.72946411551908,2547.25,105.64508086683972
2025-11-19 15:28:24.000 UTC,35.17160735819489,-103.72879700560122,2541.0,105.71767491959731
